INDICADOR_x,PAIS,Año_x,VALOR,INDICADOR_y,Año_y,TASA %
PIB expresado en Millones de USD,Brasil,2015,1822107,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-1.38836732
PIB expresado en Millones de USD,Brasil,2015,1822107,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,-1.09132484
PIB expresado en Millones de USD,Brasil,2015,1822107,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,-0.07330023
PIB expresado en Millones de USD,Brasil,2015,1822107,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,4.076795
PIB expresado en Millones de USD,Brasil,2016,1808852,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,1.942196208
PIB expresado en Millones de USD,Brasil,2016,1808852,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,-0.5526545
PIB expresado en Millones de USD,Brasil,2016,1808852,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-1.38836732
PIB expresado en Millones de USD,Brasil,2016,1808852,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,-1.09132484
PIB expresado en Millones de USD,Brasil,2016,1808852,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,-0.07330023
PIB expresado en Millones de USD,Brasil,2016,1808852,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,4.076795
PIB expresado en Millones de USD,Brasil,2017,2063199,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,1.942196208
PIB expresado en Millones de USD,Brasil,2017,2063199,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,-0.5526545
PIB expresado en Millones de USD,Brasil,2017,2063199,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-1.38836732
PIB expresado en Millones de USD,Brasil,2017,2063199,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,-1.09132484
PIB expresado en Millones de USD,Brasil,2017,2063199,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,-0.07330023
PIB expresado en Millones de USD,Brasil,2017,2063199,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,4.076795
PIB expresado en Millones de USD,Brasil,2018,1924179,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,1.942196208
